id;artist_name;track_name;release_date;genre;danceability;loudness;valence;energy
10;p‚rez prado;patricia;1950;pop;0.6869923101917037;0.7444042765941081;0.7753503709810387;0.7437357402953926
201;bill haley & his comets;come rock with me;1956;pop;0.7736380374742771;0.6720252288285515;0.8237840065952184;0.7477398693532771
202;lata mangeshkar;antar mantar jantar;1956;pop;0.7758041806563415;0.7175601876778709;0.9587798845836769;0.6926830948073653
331;eddie cochran;completely sweet;1957;pop;0.6371710170042241;0.676947927082532;0.9618713932399011;0.6646541914021739
464;buddy holly;well...all right;1958;pop;0.702155312466154;0.7433530754044559;0.8485160758450123;0.6676572881955872
490;buddy holly;take your time;1958;pop;0.7541427488356981;0.7796323359741557;0.9361088211046991;0.6566459332864047
494;buddy holly;little baby;1958;pop;0.6978230261020254;0.7176883829449017;0.9433223413025557;0.6786686431047695
547;ricky nelson;believe what you say;1958;pop;0.6469186613235136;0.7486859985129348;0.8433635614179721;0.8518472248582737
571;jackie wilson;right now!;1958;pop;0.6436694465504169;0.708253211291439;0.9711459192085737;0.6346232234680402
584;ricky nelson;don't leave me;1959;pop;0.7541427488356981;0.6946388739327743;0.8588211046990931;0.8608565152385138
597;neil sedaka;no vacancy;1959;pop;0.6144265135925485;0.8189626438991872;0.9732069249793899;0.8178121278662557
600;neil sedaka;going home to mary lou;1959;pop;0.6729123795082855;0.7654795784939619;0.9010717230008244;0.8518472248582737
641;rania;??? ????;1959;pop;0.6631647351889961;0.652385713919442;0.8516075845012365;0.6916820625428941
722;fats domino;i'm walkin';1959;pop;0.6371710170042241;0.7062790041791657;0.9773289365210223;0.8908874831726475
726;neil sedaka;oh! carol;1959;pop;0.7216506011047331;0.8312950285875444;0.9701154163231657;0.7347264499151526
759;esquivel!;boulevard of broken dreams;1959;pop;0.7628073215639554;0.7043817142271107;0.8217230008244022;0.6065943200628487
802;brenda lee;baby face;1959;pop;0.6934907397378968;0.6744609389021357;0.9216817807089859;0.697688256129721
809;neil sedaka;one way ticket;1959;pop;0.6090111556373877;0.7615311642694151;0.9134377576257213;0.7597522565269305
974;sam cooke;good times;1960;pop;0.6393371601862884;0.6886649744891418;0.8629431162407254;0.6186067072365022
1013;neil sedaka;breaking up is hard to do;1960;pop;0.7378966749702156;0.7740686613850216;0.9701154163231657;0.7997935471057754
1035;sam cooke;chain gang;1960;pop;0.6913245965558323;0.6761274773735353;0.9350783182192909;0.7487409016177482
1095;johnny burnette;cincinnati fireball;1960;pop;0.6783277374634463;0.6476168499858985;0.8887056883759273;0.6566459332864047
1178;sue thompson;paper tiger;1961;pop;0.7194844579226687;0.6812809271081711;0.8917971970321517;0.7367285144440947
1204;roy orbison;rock house;1961;pop;0.6848261670096395;0.6401815244981155;0.856760098928277;0.689679998013952
1205;jerry lee lewis;hello josephine;1961;pop;0.6035957976822268;0.6752557495577263;0.975267930750206;0.7277192240638546
1240;brenda lee;dum dum;1961;pop;0.6815769522365428;0.74299412865677;0.6784830997526793;0.6186067072365022
1361;dee clark;hey little girl;1961;pop;0.6869923101917037;0.706509755659821;0.9742374278647981;0.8208152246596689
1378;eddie cochran;cherished memories;1962;pop;0.6382540885952561;0.7225085249852574;0.8742786479802143;0.6606500623442894
1417;timi yuro;what's a matter baby (is it hurting you);1962;pop;0.6025127260911947;0.7675050637130476;0.8660346248969498;0.8308255473043802
1439;shelley fabares;breaking up is hard to do;1962;pop;0.7400628181522799;0.6848191164782195;0.9701154163231657;0.61660464270756
1472;dee dee sharp;i sold my heart to the junkman;1962;pop;0.6025127260911947;0.7358408327564545;0.8279060181368508;0.6336221912035691
1483;roy orbison;night life;1962;pop;0.6035957976822268;0.6691023767402506;0.9433223413025557;0.6346232234680402
