id;artist_name;track_name;release_date;genre;danceability;energy
201;bill haley & his comets;come rock with me;1956;pop;0.7736380374742771;0.7477398693532771
584;ricky nelson;don't leave me;1959;pop;0.7541427488356981;0.8608565152385138
726;neil sedaka;oh! carol;1959;pop;0.7216506011047331;0.7347264499151526
1013;neil sedaka;breaking up is hard to do;1960;pop;0.7378966749702156;0.7997935471057754
1178;sue thompson;paper tiger;1961;pop;0.7194844579226687;0.7367285144440947
1521;chris montez;rocking blues;1962;pop;0.7043214556482185;0.8648606442963984
1618;chubby checker;limbo rock;1962;pop;0.7400628181522799;0.894891612230532
1682;dee dee sharp;gravy (for my mashed potatoes);1962;pop;0.7920502545218239;0.7987925148413042
1704;the beach boys;our car club;1963;pop;0.7335643886060871;0.8108049020149578
1871;frankie valli & the four seasons;stay;1963;pop;0.7303151738329904;0.7507429661466903
4189;simon & garfunkel;why don't you write me;1970;pop;0.7400628181522799;0.7717646437005838
4485;the fortunes;here comes that rainy day feeling again;1971;pop;0.7498104624715695;0.7086996110389032
4618;gilbert o'sullivan;too much attention;1971;pop;0.831040831798982;0.7517439984111614
4841;gilbert o'sullivan;save it;1972;pop;0.8039640420231778;0.8478430958003893
5034;can;spoon;1972;pop;0.71515217155854;0.8047987084281311
5061;harry nilsson;you're breakin' my heart;1972;pop;0.7313982454240225;0.845841031271447
5186;ringo starr;have you seen my baby;1973;pop;0.7075706704213148;0.722714062741499
5511;the hollies;falling calling;1974;pop;0.7064875988302828;0.7177089014191435
6229;bryan ferry;let's stick together;1976;pop;0.7833856817935667;0.8928895477015898
6363;boz scaggs;love me tomorrow;1976;pop;0.7346474601971191;0.7016923851876053
6936;michael jackson;you can't win;1978;pop;0.71515217155854;0.8568523861806293
6987;suzi quatro;stumblin' in;1978;pop;0.7573919636087945;0.7237150950059701
7127;mental as anything;the nips are getting bigger;1979;pop;0.824542402252789;0.7036944497165476
7145;donna summer;walk away;1979;pop;0.8364561897541429;0.8568523861806293
7179;john mellencamp;a little night dancin;1979;pop;0.7573919636087945;0.7167078691546722
7189;the tubes;prime time;1979;pop;0.7054045272392505;0.8828792250568785
7205;donna summer;one night in a lifetime;1979;pop;0.9393479909021987;0.8878843863792342
7210;sister sledge;one more time;1979;pop;0.7184013863316365;0.8298245150399092
7260;sister sledge;lost in music;1979;pop;0.7541427488356981;0.8418369022135626
7478;sister sledge;got to love somebody;1980;pop;0.7335643886060871;0.8968936767594742
7533;yoko ono;kiss kiss kiss;1980;pop;0.8169609011155637;0.7437357402953926
7562;yoko ono;i'm moving on;1980;pop;0.7238167442867974;0.7487409016177482
7578;andy gibb;after dark;1980;pop;0.7530596772446659;0.7357274821796236
7779;peter gabriel;i don't remember;1980;pop;0.7281490306509262;0.8608565152385138
7817;brian eno;the jezebel spirit;1981;pop;0.7638903931549876;0.9169143220488967
7916;rick springfield;human touch;1981;pop;0.7346474601971191;0.8818781927924073
8011;orchestral manoeuvres in the dark;souvenir;1981;pop;0.7357305317881513;0.7427347080309215
8053;oingo boingo;perfect system;1981;pop;0.7259828874688617;0.8778740637345229
8080;oingo boingo;on the outside;1981;pop;0.7184013863316365;0.763756385584815
8288;john mellencamp;hand to hold on to;1982;pop;0.7443951045164087;0.8428379344780338
8299;abc;poison arrow;1982;pop;0.7303151738329904;0.8768730314700517
8309;missing persons;walking in l.a.;1982;pop;0.702155312466154;0.7737667082295262
8345;don henley;dirty laundry;1982;pop;0.7563088920177624;0.779772901816353
8440;glenn frey;partytown;1982;pop;0.7054045272392505;0.7006913529231342
8447;roxy music;the space between;1982;pop;0.7075706704213148;0.8418369022135626
8503;spandau ballet;gold;1983;pop;0.7173183147406045;0.8027966438991888
